Token,Symbol Details,Exchange Instrument Type,Minimum Lot Size,Tick Size,ISIN,Trading Session,Last Update Date,Expiry Date,Symbol Ticker,Exchange,Segment,Scrip Code,Underlying Symbol,Underlying Scrip Code,Strike Price,Option Type
1.01E+14,USDJPY 24 Oct 29 134.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT134.5CE,10,12,10919,USDJPY,43,134.5,CE
1.01E+14,USDJPY 24 Oct 29 134.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT134.5PE,10,12,10920,USDJPY,43,134.5,PE
1.01E+14,USDJPY 24 Oct 29 135 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT135CE,10,12,10921,USDJPY,43,135,CE
1.01E+14,USDJPY 24 Oct 29 135 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT135PE,10,12,10922,USDJPY,43,135,PE
1.01E+14,USDJPY 24 Oct 29 135.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT135.5CE,10,12,10926,USDJPY,43,135.5,CE
1.01E+14,USDJPY 24 Oct 29 135.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT135.5PE,10,12,10928,USDJPY,43,135.5,PE
1.01E+14,USDJPY 24 Oct 29 136 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT136CE,10,12,10929,USDJPY,43,136,CE
1.01E+14,USDJPY 24 Oct 29 136 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT136PE,10,12,10930,USDJPY,43,136,PE
1.01E+14,USDJPY 24 Oct 29 136.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT136.5CE,10,12,10940,USDJPY,43,136.5,CE
1.01E+14,USDJPY 24 Oct 29 136.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT136.5PE,10,12,10941,USDJPY,43,136.5,PE
1.01E+14,USDINR 24 Oct 29 82.875 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT82.875CE,10,12,11098,USDINR,1,82.875,CE
1.01E+14,USDINR 24 Oct 29 82.875 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT82.875PE,10,12,11099,USDINR,1,82.875,PE
1.01E+14,USDINR 24 Oct 29 83.125 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.125CE,10,12,11100,USDINR,1,83.125,CE
1.01E+14,USDINR 24 Oct 29 83.125 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.125PE,10,12,11107,USDINR,1,83.125,PE
1.01E+14,USDINR 24 Oct 29 83.375 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.375CE,10,12,11174,USDINR,1,83.375,CE
1.01E+14,USDINR 24 Oct 29 83.375 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.375PE,10,12,11175,USDINR,1,83.375,PE
1.01E+14,USDINR 24 Oct 29 83.625 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.625CE,10,12,11204,USDINR,1,83.625,CE
1.01E+14,USDINR 24 Oct 29 83.625 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.625PE,10,12,11205,USDINR,1,83.625,PE
1.01E+14,USDINR 24 Oct 29 83.875 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.875CE,10,12,11245,USDINR,1,83.875,CE
1.01E+14,USDINR 24 Oct 29 83.875 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT83.875PE,10,12,11246,USDINR,1,83.875,PE
1.01E+14,USDINR 24 Oct 29 84.125 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT84.125CE,10,12,11257,USDINR,1,84.125,CE
1.01E+14,USDINR 24 Oct 29 84.125 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT84.125PE,10,12,11258,USDINR,1,84.125,PE
1.01E+14,USDINR 24 Oct 29 84.375 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT84.375CE,10,12,11268,USDINR,1,84.375,CE
1.01E+14,USDINR 24 Oct 29 84.375 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT84.375PE,10,12,11269,USDINR,1,84.375,PE
1.01E+13,GBPINR 24 Oct 29 114.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT114.5CE,10,12,1132,GBPINR,26,114.5,CE
1.01E+13,GBPINR 24 Oct 29 114.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT114.5PE,10,12,1133,GBPINR,26,114.5,PE
1.01E+14,GBPINR 24 Oct 29 100.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT100.5CE,10,12,11405,GBPINR,26,100.5,CE
1.01E+14,GBPINR 24 Oct 29 100.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT100.5PE,10,12,11412,GBPINR,26,100.5,PE
1.01E+14,GBPUSD 24 Oct 29 1.15 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPUSD24OCT1.15CE,10,12,11413,GBPUSD,42,1.15,CE
1.01E+14,GBPUSD 24 Oct 29 1.15 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPUSD24OCT1.15PE,10,12,11414,GBPUSD,42,1.15,PE
1.01E+13,GBPUSD 24 Oct 29 1.415 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPUSD24OCT1.415CE,10,12,1152,GBPUSD,42,1.415,CE
1.01E+14,EURINR 24 Oct 29 96 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96CE,10,12,11527,EURINR,25,96,CE
1.01E+14,EURINR 24 Oct 29 96 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96PE,10,12,11528,EURINR,25,96,PE
1.01E+14,EURINR 24 Oct 29 96.25 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.25CE,10,12,11539,EURINR,25,96.25,CE
1.01E+14,EURINR 24 Oct 29 96.25 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.25PE,10,12,11540,EURINR,25,96.25,PE
1.01E+14,EURINR 24 Oct 29 96.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.5CE,10,12,11560,EURINR,25,96.5,CE
1.01E+14,EURINR 24 Oct 29 96.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.5PE,10,12,11561,EURINR,25,96.5,PE
1.01E+13,GBPUSD 24 Oct 29 1.415 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPUSD24OCT1.415PE,10,12,1158,GBPUSD,42,1.415,PE
1.01E+13,USDJPY 24 Oct 29 167 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT167PE,10,12,1168,USDJPY,43,167,PE
1.01E+14,EURINR 24 Oct 29 96.75 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.75CE,10,12,11682,EURINR,25,96.75,CE
1.01E+14,EURINR 24 Oct 29 96.75 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT96.75PE,10,12,11683,EURINR,25,96.75,PE
1.01E+14,EURINR 24 Oct 29 97 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT97CE,10,12,11734,EURINR,25,97,CE
1.01E+14,EURINR 24 Oct 29 97 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT97PE,10,12,11735,EURINR,25,97,PE
1.01E+14,EURUSD 24 Oct 29 0.965 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.965CE,10,12,11809,EURUSD,41,0.965,CE
1.01E+14,EURUSD 24 Oct 29 0.965 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.965PE,10,12,11810,EURUSD,41,0.965,PE
1.01E+14,EURUSD 24 Oct 29 0.97 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.97CE,10,12,11811,EURUSD,41,0.97,CE
1.01E+14,EURUSD 24 Oct 29 0.97 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.97PE,10,12,11812,EURUSD,41,0.97,PE
1.01E+14,EURUSD 24 Oct 29 0.975 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.975CE,10,12,11813,EURUSD,41,0.975,CE
1.01E+14,EURUSD 24 Oct 29 0.975 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.975PE,10,12,11814,EURUSD,41,0.975,PE
1.01E+14,EURUSD 24 Oct 29 0.98 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.98CE,10,12,11815,EURUSD,41,0.98,CE
1.01E+13,JPYINR 24 Oct 29 65.75 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT65.75CE,10,12,1183,JPYINR,27,65.75,CE
1.01E+14,EURUSD 24 Oct 29 0.98 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.98PE,10,12,11832,EURUSD,41,0.98,PE
1.01E+14,EURUSD 24 Oct 29 0.985 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.985CE,10,12,11833,EURUSD,41,0.985,CE
1.01E+14,EURUSD 24 Oct 29 0.985 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.985PE,10,12,11834,EURUSD,41,0.985,PE
1.01E+14,EURUSD 24 Oct 29 0.99 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.99CE,10,12,11835,EURUSD,41,0.99,CE
1.01E+14,EURUSD 24 Oct 29 0.99 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.99PE,10,12,11836,EURUSD,41,0.99,PE
1.01E+14,EURUSD 24 Oct 29 0.995 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.995CE,10,12,11837,EURUSD,41,0.995,CE
1.01E+14,EURUSD 24 Oct 29 0.995 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT.995PE,10,12,11838,EURUSD,41,0.995,PE
1.01E+14,EURUSD 24 Oct 29 1 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1CE,10,12,11839,EURUSD,41,1,CE
1.01E+13,JPYINR 24 Oct 29 65.75 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT65.75PE,10,12,1184,JPYINR,27,65.75,PE
1.01E+14,EURUSD 24 Oct 29 1 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1PE,10,12,11863,EURUSD,41,1,PE
1.01E+14,EURUSD 24 Oct 29 1.005 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.005CE,10,12,11864,EURUSD,41,1.005,CE
1.01E+14,EURUSD 24 Oct 29 1.005 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.005PE,10,12,11865,EURUSD,41,1.005,PE
1.01E+14,EURUSD 24 Oct 29 1.01 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.01CE,10,12,11870,EURUSD,41,1.01,CE
1.01E+14,EURUSD 24 Oct 29 1.01 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.01PE,10,12,11885,EURUSD,41,1.01,PE
1.01E+14,EURUSD 24 Oct 29 1.015 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.015CE,10,12,11886,EURUSD,41,1.015,CE
1.01E+14,EURUSD 24 Oct 29 1.015 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.015PE,10,12,11923,EURUSD,41,1.015,PE
1.01E+14,EURUSD 24 Oct 29 1.02 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.02CE,10,12,11924,EURUSD,41,1.02,CE
1.01E+14,EURUSD 24 Oct 29 1.02 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.02PE,10,12,12011,EURUSD,41,1.02,PE
1.01E+14,EURUSD 24 Oct 29 1.025 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.025CE,10,12,12016,EURUSD,41,1.025,CE
1.01E+14,EURUSD 24 Oct 29 1.025 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.025PE,10,12,12017,EURUSD,41,1.025,PE
1.01E+14,EURUSD 24 Oct 29 1.03 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.03CE,10,12,12018,EURUSD,41,1.03,CE
1.01E+14,EURUSD 24 Oct 29 1.03 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.03PE,10,12,12104,EURUSD,41,1.03,PE
1.01E+14,EURUSD 24 Oct 29 1.035 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.035CE,10,12,12107,EURUSD,41,1.035,CE
1.01E+14,EURUSD 24 Oct 29 1.035 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.035PE,10,12,12108,EURUSD,41,1.035,PE
1.01E+14,EURUSD 24 Oct 29 1.04 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.04CE,10,12,12109,EURUSD,41,1.04,CE
1.01E+14,EURUSD 24 Oct 29 1.04 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.04PE,10,12,12169,EURUSD,41,1.04,PE
1.01E+14,EURUSD 24 Oct 29 1.045 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.045CE,10,12,12183,EURUSD,41,1.045,CE
1.01E+14,EURUSD 24 Oct 29 1.045 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.045PE,10,12,12184,EURUSD,41,1.045,PE
1.01E+14,EURUSD 24 Oct 29 1.05 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.05CE,10,12,12213,EURUSD,41,1.05,CE
1.01E+14,EURUSD 24 Oct 29 1.05 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.05PE,10,12,12214,EURUSD,41,1.05,PE
1.01E+14,EURUSD 24 Oct 29 1.055 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.055CE,10,12,12242,EURUSD,41,1.055,CE
1.01E+14,EURUSD 24 Oct 29 1.055 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.055PE,10,12,12244,EURUSD,41,1.055,PE
1.01E+14,EURUSD 24 Oct 29 1.06 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.06CE,10,12,12245,EURUSD,41,1.06,CE
1.01E+14,EURUSD 24 Oct 29 1.06 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.06PE,10,12,12246,EURUSD,41,1.06,PE
1.01E+14,EURUSD 24 Oct 29 1.065 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.065CE,10,12,12247,EURUSD,41,1.065,CE
1.01E+14,EURUSD 24 Oct 29 1.065 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.065PE,10,12,12255,EURUSD,41,1.065,PE
1.01E+14,EURUSD 24 Oct 29 1.07 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.07CE,10,12,12266,EURUSD,41,1.07,CE
1.01E+14,EURUSD 24 Oct 29 1.07 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.07PE,10,12,12267,EURUSD,41,1.07,PE
1.01E+14,EURUSD 24 Oct 29 1.075 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.075CE,10,12,12268,EURUSD,41,1.075,CE
1.01E+14,EURUSD 24 Oct 29 1.075 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.075PE,10,12,12269,EURUSD,41,1.075,PE
1.01E+14,EURUSD 24 Oct 29 1.08 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.08CE,10,12,12270,EURUSD,41,1.08,CE
1.01E+14,EURUSD 24 Oct 29 1.08 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.08PE,10,12,12287,EURUSD,41,1.08,PE
1.01E+14,EURUSD 24 Oct 29 1.085 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.085CE,10,12,12288,EURUSD,41,1.085,CE
1.01E+14,EURUSD 24 Oct 29 1.085 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.085PE,10,12,12289,EURUSD,41,1.085,PE
1.01E+14,EURUSD 24 Oct 29 1.09 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.09CE,10,12,12290,EURUSD,41,1.09,CE
